2024-12-22 13:55:02.276 [info] Starting Python Locator /home/alan/.vscode/extensions/ms-python.python-2024.23.2024121901-linux-x64/python-env-tools/bin/pet server
2024-12-22 13:55:03.417 [info] Discovered env: /home/alan/learning_python/.venv/bin/python
2024-12-22 13:55:03.444 [info] Discovered env: /home/alan/utfpr/venv01_utfpr/bin/python
2024-12-22 13:55:03.469 [info] Discovered env: /bin/python
2024-12-22 13:55:03.472 [info] Discovered env: /usr/bin/python
2024-12-22 13:55:03.473 [info] Locator Conda took 52.303276ms
2024-12-22 13:55:03.473 [info] Locator Homebrew took 285.311µs
2024-12-22 13:55:03.473 [info] Locator LinuxGlobal took 60.978401ms
2024-12-22 13:55:03.473 [info] Locator PipEnv took 134.265µs
2024-12-22 13:55:03.473 [info] Locator Pixi took 55.806µs
2024-12-22 13:55:03.473 [info] Locator Poetry took 995.477µs
2024-12-22 13:55:03.473 [info] Locator PyEnv took 312.422µs
2024-12-22 13:55:03.473 [info] Locator Venv took 165.563µs
2024-12-22 13:55:03.473 [info] Locator VirtualEnv took 212.973µs
2024-12-22 13:55:03.473 [info] Locator VirtualEnvWrapper took 166.576µs
2024-12-22 13:55:03.473 [info] Locator GlobalVirtualEnvs took 352.728µs
2024-12-22 13:55:03.473 [info] Locator Locators took 63.250718ms
2024-12-22 13:55:03.473 [info] Locator Path took 196.617258ms
2024-12-22 13:55:03.473 [info] Locator Workspaces took 19.291419ms
2024-12-22 13:55:03.473 [info] Refresh completed in 196ms
2024-12-22 13:55:03.478 [info] Resolved Python Environment /home/alan/learning_python/.venv/bin/python
2024-12-22 13:55:04.881 [info] Resolved Python Environment /bin/python
